prefix,input_file,group,input_dir,task,segclass,th,auc,Jacc,mIoU,mDice,AP
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,1,0,0.55,0.5001421704995366,0.0054498691976259854,0.49862823709788884,0.6654461954194977,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,1,0,0.6000000000000001,0.5001421704995366,0.005020877805541306,0.49874366691186844,0.6655489764763562,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,1,0,0.65,0.5001421704995366,0.00459243358974076,0.4988473831605955,0.66564131942931,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,1,0,0.7000000000000001,0.5001421704995366,0.004242270346061065,0.49893975445646566,0.6657235466759129,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,1,0,0.75,0.5001421704995366,0.003853173518440286,0.49903661034810426,0.6658097578815019,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,1,0,0.8,0.5001421704995366,0.003419738354105896,0.4991445510548649,0.6659058224113066,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,1,0,0.8500000000000001,0.5001421704995366,0.002912865524550703,0.4992685988260678,0.6660162056416434,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,1,0,0.9,0.5001421704995366,0.0022991811154692166,0.49941272205516574,0.6661444319868371,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,1,0,0.9500000000000001,0.5001421704995366,0.0014073553343887345,0.4996408958192111,0.6663473797102089,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,1,1,0.05,0.5006512574383852,0.27259527470962963,0.38543804037308393,0.5564128844469655,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,1,1,0.1,0.5006512574383852,0.10623630003117285,0.46830213428712997,0.6378823721891724,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,1,1,0.15000000000000002,0.5006512574383852,0.06629522934380698,0.4815231660213645,0.6500378623440934,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,1,1,0.2,0.5006512574383852,0.05599537902211953,0.48466845615377613,0.652897803303284,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,1,1,0.25,0.5006512574383852,0.04897148169313786,0.48676104644140433,0.6547938520034703,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,1,1,0.30000000000000004,0.5006512574383852,0.04338526373785013,0.4883665865783211,0.6562449529921797,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,1,1,0.35000000000000003,0.5006512574383852,0.03855849524706985,0.4897250297309045,0.6574702749718119,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,1,1,0.4,0.5006512574383852,0.0344324723878572,0.49087774929594086,0.658508291342999,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,1,1,0.45,0.5006512574383852,0.030739585737519257,0.4919090432330556,0.6594356208152112,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,1,1,0.5,0.5006512574383852,0.02743227446818826,0.4928390665843685,0.6602708068805001,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,1,1,0.55,0.5006512574383852,0.024418777440054037,0.4936573893286375,0.661004800162114,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,1,1,0.6000000000000001,0.5006512574383852,0.02147154897824529,0.4944350190673552,0.6617015332968045,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,1,1,0.65,0.5006512574383852,0.018746875067933304,0.4951647056593338,0.662354669915971,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,1,1,0.7000000000000001,0.5006512574383852,0.016136019945232352,0.4958628853815601,0.6629790129369868,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,1,1,0.75,0.5006512574383852,0.01342182870708696,0.4965551155252983,0.66359743188333,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,1,1,0.8,0.5006512574383852,0.010805954368467978,0.49723440380773415,0.6642037521545953,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,1,1,0.8500000000000001,0.5006512574383852,0.008017108292082608,0.49795795765598094,0.6648489842191985,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,1,1,0.9,0.5006512574383852,0.004741733316429741,0.4987911871891751,0.6655912384507836,0.0
image0,image0.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,1,1,0.9500000000000001,0.5006512574383852,0.0010098313305011944,0.49974684466415464,0.6664415555173107,0.0
image1,image1.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,0,0,0.05,0.5011527524994499,0.06541202715935694,0.48198504323420366,0.6504583536467838,0.0
image1,image1.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,0,0,0.1,0.5011527524994499,0.05102412961819458,0.486254945977024,0.6543355862749665,0.0
image1,image1.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,0,0,0.15000000000000002,0.5011527524994499,0.0437438875995069,0.4883891614521022,0.6562650868071813,0.0
image1,image1.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,0,0,0.2,0.5011527524994499,0.03883211523044355,0.4897963738659352,0.6575343013649465,0.0
image1,image1.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,0,0,0.25,0.5011527524994499,0.03517739991966796,0.49080419286774063,0.6584418767962396,0.0
image1,image1.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,0,0,0.30000000000000004,0.5011527524994499,0.0324176834958783,0.4915780786272568,0.6591379039998218,0.0
image1,image1.npz,train,/home/gxm324/Documents/IHC/ImPartial2/Data/PECAM/two/,0,0,0.35000000000000003,0.5011527524994499,0.02999660781494823,0.4922381636796149,0.659731041364406,0.0
